Bedrooms,squareFoootage,Saleprice,,Quarter,sales,,carmodel,Fuelefficiency,,Item,Price per item,Quantity,,Customer ID,Order Date,Product Name,Order Quantity,,,product,Date,Quantity sold,,Property_ID,Location__,Bedrooms,Area_sqft,Listing Price,,Monthly_,Sales_,,Month@,Temperature_?,Rainfall_mm,,Word_,Frequency_
,,,,,,,,,,,,,,,,,,,,Laptop,06-04-2025,5,,P1010,Downtown,3,1770,632275,,08-06-2025,51000,,November,26,40,,is ,1 
,,,,,,,,,,,,,,,,,,,,Mouse,06-04-2025,21,,P1011,Countryside,2,4038,102225,,19-06-2025,53265,,December,24,35,,used ,4
,,,,,,,,,,,,,,,,,,,,KeyBoard,07-04-2025,5,,P1012,Downtown,3,4610,689011,,,,,,,,,in ,3
,,,,,,,,,,,,,,,,,,,,Printer,08-05-2025,3,,P1013,Suburb,2,2565,686207,,,,,,,,,many ,6
,,,,,,,,,,,,,,,,,,,,USB,08-05-2025,25,,P1014,Uptown,5,4454,802110,,,,,,,,,applications ,1 
,,,,,,,,,,,,,,,,,,,,Trackpad,08-04-2025,3,,P1015,Uptown,4,4593,424878,,,,,,,,,including ,9
,,,,,,,,,,,,,,,,,,,,CPU,08-04-2025,5,,P1016,Downtown,4,3906,578262,,,,,,,,,sentiment ,8
,,,,,,,,,,,,,,,,,,,,Moniter,08-04-2025,2,,P1017,Downtown,4,2946,747357,,,,,,,,,topic ,8
,,,,,,,,,,,,,,,,,,,,GPU,09-04-2025,6,,P1018,Downtown,6,3877,570701,,,,,,,,,modeling ,2
,,,,,,,,,,,,,,,,,,,,Mother Board,10-04-2025,2,,P1019,Beachside,6,4166,595284,,,,,,,,,and ,5
,,,,,,,,,,,,,,,,,,,,Laptop,11-04-2025,9,,P1020,Beachside,6,4484,384225,,,,,,,,,keyword ,1 
,,,,,,,,,,,,,,,,,,,,Mouse,11-04-2025,2,,P1021,Beachside,4,3940,164284,,,,,,,,,extraction ,1 
,,,,,,,,,,,,,,,,,,,,KeyBoard,12-04-2025,3,,P1022,Beachside,4,1129,905991,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Printer,13-04-2025,4,,P1023,Beachside,6,3713,959953,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,USB,13-05-2025,23,,P1024,Countryside,4,916,758676,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Trackpad,14-04-2025,9,,P1025,Countryside,5,801,718583,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,CPU,14-04-2025,1,,P1026,Uptown,5,2899,674186,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Moniter,15-04-2025,2,,P1027,Downtown,1,1684,392289,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,GPU,15-04-2025,4,,P1028,Beachside,3,1040,234617,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Mother Board,16-04-2025,6,,P1029,Uptown,2,2392,289949,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,apples,17-04-2025,1,,P1030,Beachside,1,3913,720755,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,banana,17-04-2025,6,,P1031,Downtown,5,3245,392006,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,orange,21-04-2025,9,,P1032,Downtown,4,4877,398314,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pineapple,21-04-2025,8,,P1033,Beachside,4,3286,410913,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5star,22-04-2025,5,,P1034,Uptown,1,1828,709252,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,diarymilk (silk),23-04-2025,23,,P1035,Suburb,2,1232,943908,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,eggs,24-04-2025,1,,P1036,Downtown,2,1275,606295,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,bread,23-05-2025,35,,P1037,Uptown,4,3131,393130,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,bingo,25-01-1900,2,,P1038,Beachside,3,4270,993872,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,french fries,26-04-2025,1,,P1039,Downtown,5,2781,771738,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,apples,16-04-2025,3,,P1040,Downtown,6,843,786022,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,banana,19-04-2025,65,,P1041,Downtown,4,637,561131,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,orange,01-04-2025,22,,P1042,Beachside,4,2630,168340,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pineapple,14-04-2025,33,,P1043,Beachside,3,2794,728638,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5star,14-04-2025,32,,P1044,Suburb,1,3188,776262,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,diarymilk (silk),06-04-2025,12,,P1045,Beachside,3,1955,469456,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,eggs,09-04-2025,90,,P1046,Downtown,5,3912,408043,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,bread,28-04-2025,3,,P1047,Uptown,6,2167,102899,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,bingo,30-04-2025,2,,P1048,Countryside,,3106,608864,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,french fries,28-04-2025,59,,P1049,Uptown,,777,153475,,,,,,,,,,
